n,selection_sort,merge_sort,selection_sort_sorted
500,0.008941380004398525,0.0006077800004277379,0.005178700003307312
1000,0.017405979998875408,0.0015599400008795782,0.018022879998898133
2000,0.06314513999386691,0.003417940004146658,0.06018981999950483
4000,0.2632154799997807,0.006791260003228672,0.24542593999940437
8000,1.021006439998746,0.015245539997704328,1.6989490000007208
